department_id,department_name,location
1,Департамент продаж,"Москва, БЦ Омега, 5 этаж"
2,IT: Разработка,"Санкт-Петербург, БЦ Технопарк"
3,IT: Инфраструктура,"Санкт-Петербург, БЦ Технопарк"
4,IT: Тестирование (QA),"Санкт-Петербург, БЦ Технопарк"
5,HR: Подбор персонала,"Москва, БЦ Омега, 4 этаж"
6,HR: Кадровое делопроизводство,"Москва, БЦ Омега, 4 этаж"
7,Финансовый департамент,"Казань, Иннополис"
8,Бухгалтерия,"Казань, Иннополис"
9,Маркетинг и PR,"Москва, БЦ Омега, 6 этаж"
10,Служба безопасности,"Москва, БЦ Омега, 1 этаж"
11,Юридический отдел,"Москва, БЦ Омега, 6 этаж"
12,Служба поддержки клиентов,"Екатеринбург, БЦ Высоцкий"
13,Отдел логистики,"Новосибирск, Складской комплекс А"
14,Аналитика и Data Science,"Санкт-Петербург, БЦ Технопарк"
15,Административный отдел,"Москва, БЦ Омега, 1 этаж"
