salary_id,employee_id,amount,is_valid,valid_from,valid_to
1,1,174259,True,2023-04-10,9999-12-31
2,2,179300,False,2022-12-06,2023-06-24
3,2,199695,False,2023-06-25,2025-08-14
4,3,57544,False,2025-05-03,2025-12-20
5,3,61595,False,2025-12-21,2026-05-17
6,3,66977,True,2026-05-18,9999-12-31
7,4,101746,False,2024-09-25,2026-05-17
8,5,248708,False,2015-07-01,2016-04-09
9,5,251712,False,2016-04-10,2017-01-21
10,5,260879,True,2017-01-22,9999-12-31
11,6,108902,False,2024-10-12,2025-07-02
12,6,135741,True,2025-07-03,9999-12-31
13,7,124320,True,2022-12-19,9999-12-31
14,8,97033,False,2023-04-04,2023-10-25
15,8,113124,False,2023-10-26,2025-11-22
16,9,100416,False,2025-08-11,2026-05-17
17,9,112307,False,2026-05-18,2026-05-17
18,10,145798,False,2024-01-16,2025-01-08
19,10,159381,False,2025-01-09,2025-08-14
20,10,170312,True,2025-08-15,9999-12-31
21,11,159701,True,2017-09-15,9999-12-31
22,12,107845,True,2025-06-05,9999-12-31
23,13,115905,False,2023-11-23,2024-11-09
24,13,138946,False,2024-11-10,2025-06-06
25,13,167001,False,2025-06-07,2026-05-11
26,13,194867,False,2026-05-12,2024-05-02
27,14,272036,True,2018-07-02,9999-12-31
28,15,136061,False,2014-11-23,2015-06-12
29,15,146707,True,2015-06-13,9999-12-31
30,16,122681,True,2015-11-15,9999-12-31
31,17,95518,True,2020-12-30,9999-12-31
32,18,106187,False,2025-10-26,2026-05-17
33,18,117274,False,2026-05-18,2026-05-17
34,19,106016,False,2022-10-30,2023-06-05
35,19,117350,False,2023-06-06,2024-05-20
36,19,125619,True,2024-05-21,9999-12-31
37,20,68826,False,2023-04-14,2024-02-23
38,20,72622,False,2024-02-24,2024-08-25
39,21,114524,True,2024-08-20,9999-12-31
40,22,140697,False,2023-06-27,2024-01-02
41,22,172044,False,2024-01-03,2024-12-14
42,22,192707,False,2024-12-15,2026-05-17
43,23,115168,True,2018-10-25,9999-12-31
44,24,148399,True,2017-07-30,9999-12-31
45,25,139676,False,2021-12-29,2022-11-02
46,25,159747,False,2022-11-03,2023-06-21
47,25,198639,False,2023-06-22,2024-06-20
48,25,246111,False,2024-06-21,2026-02-22
49,26,91731,False,2017-04-24,2018-04-15
50,26,92836,True,2018-04-16,9999-12-31
51,27,118309,False,2017-08-12,2018-07-17
52,27,119906,True,2018-07-18,9999-12-31
53,28,250868,False,2022-08-03,2023-04-27
54,28,266286,False,2023-04-28,2024-03-30
55,28,283668,False,2024-03-31,2024-12-15
56,28,316417,True,2024-12-16,9999-12-31
57,29,66442,True,2025-08-29,9999-12-31
58,30,91537,False,2023-06-12,2023-12-11
59,30,97764,True,2023-12-12,9999-12-31
60,31,138514,False,2026-02-22,2026-05-17
61,31,144011,False,2026-05-18,2026-05-17
62,32,47696,False,2024-12-29,2025-07-06
63,32,54713,False,2025-07-07,2026-03-31
64,32,67341,False,2026-04-01,2025-10-31
65,33,197881,True,2025-05-07,9999-12-31
66,34,62676,True,2023-06-07,9999-12-31
67,35,224353,False,2021-02-09,2021-12-19
68,35,250030,False,2021-12-20,2026-01-09
69,36,104371,True,2024-09-17,9999-12-31
70,37,69732,False,2023-10-27,2024-07-04
71,37,70230,False,2024-07-05,2025-01-02
72,37,71873,False,2025-01-03,2025-07-27
73,37,73405,True,2025-07-28,9999-12-31
74,38,153495,False,2020-04-18,2021-03-24
75,38,167016,True,2021-03-25,9999-12-31
76,39,93565,False,2022-10-24,2023-07-27
77,39,105346,False,2023-07-28,2024-01-29
78,39,117268,True,2024-01-30,9999-12-31
79,40,125625,False,2022-07-16,2023-02-24
80,40,173752,False,2023-02-25,2024-01-18
81,40,224617,True,2024-01-19,9999-12-31
82,41,142546,False,2018-12-28,2019-07-14
83,41,154698,True,2019-07-15,9999-12-31
84,42,137439,False,2024-06-28,2026-05-17
85,43,159331,True,2025-09-06,9999-12-31
86,44,80314,True,2025-11-29,9999-12-31
87,45,118475,False,2022-01-24,2022-08-09
88,45,120629,True,2022-08-10,9999-12-31
89,46,216060,False,2019-08-04,2026-01-22
90,47,136542,True,2025-10-26,9999-12-31
91,48,68075,False,2024-05-17,2024-12-01
92,48,69545,False,2024-12-02,2026-05-17
93,49,104738,True,2026-01-09,9999-12-31
94,50,227539,True,2024-06-22,9999-12-31
95,51,80592,True,2016-10-04,9999-12-31
96,52,56945,True,2016-04-24,9999-12-31
97,53,156515,True,2022-05-17,9999-12-31
98,54,255984,True,2014-08-10,9999-12-31
99,55,78440,False,2026-04-25,2026-05-17
100,55,82875,False,2026-05-18,2026-05-17
101,56,195474,True,2015-01-25,9999-12-31
102,57,178127,False,2015-04-27,2016-01-23
103,57,195368,False,2016-01-24,2016-08-20
104,57,213457,True,2016-08-21,9999-12-31
105,58,83174,True,2022-08-26,9999-12-31
106,59,67402,True,2022-11-16,9999-12-31
107,60,162094,True,2020-12-20,9999-12-31
108,61,222000,False,2024-11-03,2025-10-16
109,61,227779,True,2025-10-17,9999-12-31
110,62,62185,True,2023-03-22,9999-12-31
111,63,45637,True,2025-04-17,9999-12-31
112,64,239629,True,2018-02-11,9999-12-31
113,65,50223,False,2025-12-21,2026-05-17
114,65,62562,False,2026-05-18,2026-05-17
115,66,67550,False,2023-05-14,2024-01-18
116,66,68962,False,2024-01-19,2025-12-31
117,67,5219012,False,2014-08-17,2015-06-26
118,67,121787,False,2015-06-27,2017-11-02
119,68,106074,False,2024-09-22,2025-02-12
120,69,280614,False,2022-11-13,2023-10-31
121,69,287128,True,2023-11-01,9999-12-31
122,70,85941,False,2022-08-23,2023-08-06
123,70,108329,True,2023-08-07,9999-12-31
124,71,184177,False,2018-05-04,2019-04-07
125,71,198766,False,2019-04-08,2019-11-23
126,71,221109,True,2019-11-24,9999-12-31
